car_ID,CarName,fueltype,wheelbase,carlength,carwidth,carheight,cylindernumber,horsepower,peakrpm,highwaympg,price
1,alfa-romero giulia,0,88.6,168.8,64.1,48.8,four,111,5000,27,13495
2,alfa-romero stelvio,0,88.6,168.8,64.1,48.8,four,111,5000,27,16500
3,alfa-romero Quadrifoglio,0,94.5,171.2,65.5,52.4,six,154,5000,26,16500
4,audi 100 ls,0,99.8,176.6,66.2,54.3,four,102,5500,30,13950
5,audi 100ls,0,99.4,176.6,66.4,54.3,five,115,5500,22,17450
6,audi fox,0,99.8,177.3,66.3,53.1,five,110,5500,25,15250
7,audi 100ls,0,105.8,192.7,71.4,55.7,five,110,5500,25,17710
8,audi 5000,0,105.8,192.7,71.4,55.7,five,110,5500,25,18920
9,audi 4000,0,105.8,192.7,71.4,55.9,five,140,5500,20,23875
10,audi 5000s (1),0,99.5,178.2,67.9,52,five,160,5500,22,17859
11,bmw 320i,0,101.2,176.8,64.8,54.3,four,101,5800,29,16430
12,bmw 320i,0,101.2,176.8,64.8,54.3,four,101,5800,29,16925
13,bmw x1,0,101.2,176.8,64.8,54.3,six,121,4250,28,20970
14,bmw x3,0,101.2,176.8,64.8,54.3,six,121,4250,28,21105
15,bmw z4,0,103.5,189,66.9,55.7,six,121,4250,25,24565
16,bmw x4,0,103.5,189,66.9,55.7,six,182,5400,22,30760
17,bmw x5,0,103.5,193.8,67.9,53.7,six,182,5400,22,41315
18,bmw x3,0,110,197,70.9,56.3,six,182,5400,20,36880
19,chevrolet impala,0,88.4,141.1,60.3,53.2,three,48,5100,53,5151
20,chevrolet monte carlo,0,94.5,155.9,63.6,52,four,70,5400,43,6295
21,chevrolet vega 2300,0,94.5,158.8,63.6,52,four,70,5400,43,6575
22,dodge rampage,0,93.7,157.3,63.8,50.8,four,68,5500,41,5572
23,dodge challenger se,0,93.7,157.3,63.8,50.8,four,68,5500,38,6377
24,dodge d200,0,93.7,157.3,63.8,50.8,four,102,5500,30,7957
25,dodge monaco (sw),0,93.7,157.3,63.8,50.6,four,68,5500,38,6229
26,dodge colt hardtop,0,93.7,157.3,63.8,50.6,four,68,5500,38,6692
27,dodge colt (sw),0,93.7,157.3,63.8,50.6,four,68,5500,38,7609
28,dodge coronet custom,0,93.7,157.3,63.8,50.6,four,102,5500,30,8558
29,dodge dart custom,0,103.3,174.6,64.6,59.8,four,88,5000,30,8921
30,dodge coronet custom (sw),0,95.9,173.2,66.3,50.2,four,145,5000,24,12964
31,honda civic,0,86.6,144.6,63.9,50.8,four,58,4800,54,6479
32,honda civic cvcc,0,86.6,144.6,63.9,50.8,four,76,6000,38,6855
33,honda civic,0,93.7,150,64,52.6,four,60,5500,42,5399
34,honda accord cvcc,0,93.7,150,64,52.6,four,76,6000,34,6529
35,honda civic cvcc,0,93.7,150,64,52.6,four,76,6000,34,7129
36,honda accord lx,0,96.5,163.4,64,54.5,four,76,6000,34,7295
37,honda civic 1500 gl,0,96.5,157.1,63.9,58.3,four,76,6000,34,7295
38,honda accord,0,96.5,167.5,65.2,53.3,four,86,5800,33,7895
39,honda civic 1300,0,96.5,167.5,65.2,53.3,four,86,5800,33,9095
40,honda prelude,0,96.5,175.4,65.2,54.1,four,86,5800,33,8845
41,honda accord,0,96.5,175.4,62.5,54.1,four,86,5800,33,10295
42,honda civic,0,96.5,175.4,65.2,54.1,four,101,5800,28,12945
43,honda civic (auto),0,96.5,169.1,66,51,four,100,5500,31,10345
44,isuzu MU-X,0,94.3,170.7,61.8,53.5,four,78,4800,29,6785
45,isuzu D-Max ,0,94.5,155.9,63.6,52,four,70,5400,43,8916.5
46,isuzu D-Max V-Cross,0,94.5,155.9,63.6,52,four,70,5400,43,8916.5
47,isuzu D-Max ,0,96,172.6,65.2,51.4,four,90,5000,29,11048
48,jaguar xj,0,113,199.6,69.6,52.8,six,176,4750,19,32250
49,jaguar xf,0,113,199.6,69.6,52.8,six,176,4750,19,35550
50,jaguar xk,0,102,191.7,70.6,47.8,twelve,262,5000,17,36000
51,maxda rx3,0,93.1,159.1,64.2,54.1,four,68,5000,31,5195
52,maxda glc deluxe,0,93.1,159.1,64.2,54.1,four,68,5000,38,6095
53,mazda rx2 coupe,0,93.1,159.1,64.2,54.1,four,68,5000,38,6795
54,mazda rx-4,0,93.1,166.8,64.2,54.1,four,68,5000,38,6695
55,mazda glc deluxe,0,93.1,166.8,64.2,54.1,four,68,5000,38,7395
56,mazda 626,0,95.3,169,65.7,49.6,two,101,6000,23,10945
57,mazda glc,0,95.3,169,65.7,49.6,two,101,6000,23,11845
58,mazda rx-7 gs,0,95.3,169,65.7,49.6,two,101,6000,23,13645
59,mazda glc 4,0,95.3,169,65.7,49.6,two,135,6000,23,15645
60,mazda 626,0,98.8,177.8,66.5,53.7,four,84,4800,32,8845
61,mazda glc custom l,0,98.8,177.8,66.5,55.5,four,84,4800,32,8495
62,mazda glc custom,0,98.8,177.8,66.5,53.7,four,84,4800,32,10595
63,mazda rx-4,0,98.8,177.8,66.5,55.5,four,84,4800,32,10245
64,mazda glc deluxe,1,98.8,177.8,66.5,55.5,four,64,4650,42,10795
65,mazda 626,0,98.8,177.8,66.5,55.5,four,84,4800,32,11245
66,mazda glc,0,104.9,175,66.1,54.4,four,120,5000,27,18280
67,mazda rx-7 gs,1,104.9,175,66.1,54.4,four,72,4200,39,18344
68,buick electra 225 custom,1,110,190.9,70.3,56.5,five,123,4350,25,25552
69,buick century luxus (sw),1,110,190.9,70.3,58.7,five,123,4350,25,28248
70,buick century,1,106.7,187.5,70.3,54.9,five,123,4350,25,28176
71,buick skyhawk,1,115.6,202.6,71.7,56.3,five,123,4350,25,31600
72,buick opel isuzu deluxe,0,115.6,202.6,71.7,56.5,eight,155,4750,18,34184
73,buick skylark,0,96.6,180.3,70.5,50.8,eight,155,4750,18,35056
74,buick century special,0,120.9,208.1,71.7,56.7,eight,184,4500,16,40960
75,buick regal sport coupe (turbo),0,112,199.2,72,55.4,eight,184,4500,16,45400
76,mercury cougar,0,102.7,178.4,68,54.8,four,175,5000,24,16503
77,mitsubishi mirage,0,93.7,157.3,64.4,50.8,four,68,5500,41,5389
78,mitsubishi lancer,0,93.7,157.3,64.4,50.8,four,68,5500,38,6189
79,mitsubishi outlander,0,93.7,157.3,64.4,50.8,four,68,5500,38,6669
80,mitsubishi g4,0,93,157.3,63.8,50.8,four,102,5500,30,7689
81,mitsubishi mirage g4,0,96.3,173,65.4,49.4,four,116,5500,30,9959
82,mitsubishi g4,0,96.3,173,65.4,49.4,four,88,5000,32,8499
83,mitsubishi outlander,0,95.9,173.2,66.3,50.2,four,145,5000,24,12629
84,mitsubishi g4,0,95.9,173.2,66.3,50.2,four,145,5000,24,14869
85,mitsubishi mirage g4,0,95.9,173.2,66.3,50.2,four,145,5000,24,14489
86,mitsubishi montero,0,96.3,172.4,65.4,51.6,four,88,5000,32,6989
87,mitsubishi pajero,0,96.3,172.4,65.4,51.6,four,88,5000,32,8189
88,mitsubishi outlander,0,96.3,172.4,65.4,51.6,four,116,5500,30,9279
89,mitsubishi mirage g4,0,96.3,172.4,65.4,51.6,four,116,5500,30,9279
90,Nissan versa,0,94.5,165.3,63.8,54.5,four,69,5200,37,5499
91,nissan gt-r,1,94.5,165.3,63.8,54.5,four,55,4800,50,7099
92,nissan rogue,0,94.5,165.3,63.8,54.5,four,69,5200,37,6649
93,nissan latio,0,94.5,165.3,63.8,54.5,four,69,5200,37,6849
94,nissan titan,0,94.5,170.2,63.8,53.5,four,69,5200,37,7349
95,nissan leaf,0,94.5,165.3,63.8,54.5,four,69,5200,37,7299
96,nissan juke,0,94.5,165.6,63.8,53.3,four,69,5200,37,7799
97,nissan latio,0,94.5,165.3,63.8,54.5,four,69,5200,37,7499
98,nissan note,0,94.5,170.2,63.8,53.5,four,69,5200,37,7999
99,nissan clipper,0,95.1,162.4,63.8,53.3,four,69,5200,37,8249
100,nissan rogue,0,97.2,173.4,65.2,54.7,four,97,5200,34,8949
101,nissan nv200,0,97.2,173.4,65.2,54.7,four,97,5200,34,9549
102,nissan dayz,0,100.4,181.7,66.5,55.1,six,152,5200,22,13499
103,nissan fuga,0,100.4,184.6,66.5,56.1,six,152,5200,22,14399
104,nissan otti,0,100.4,184.6,66.5,55.1,six,152,5200,25,13499
105,nissan teana,0,91.3,170.7,67.9,49.7,six,160,5200,25,17199
106,nissan kicks,0,91.3,170.7,67.9,49.7,six,200,5200,23,19699
107,nissan clipper,0,99.2,178.5,67.9,49.7,six,160,5200,25,18399
108,peugeot 504,0,107.9,186.7,68.4,56.7,four,97,5000,24,11900
109,peugeot 304,1,107.9,186.7,68.4,56.7,four,95,4150,33,13200
110,peugeot 504 (sw),0,114.2,198.9,68.4,58.7,four,97,5000,24,12440
111,peugeot 504,1,114.2,198.9,68.4,58.7,four,95,4150,25,13860
112,peugeot 504,0,107.9,186.7,68.4,56.7,four,95,5000,24,15580
113,peugeot 604sl,1,107.9,186.7,68.4,56.7,four,95,4150,33,16900
114,peugeot 504,0,114.2,198.9,68.4,56.7,four,95,5000,24,16695
115,peugeot 505s turbo 1,1,114.2,198.9,68.4,58.7,four,95,4150,25,17075
116,peugeot 504,0,107.9,186.7,68.4,56.7,four,97,5000,24,16630
117,peugeot 504,1,107.9,186.7,68.4,56.7,four,95,4150,33,17950
118,peugeot 604sl,0,108,186.7,68.3,56,four,142,5600,24,18150
119,plymouth fury iii,0,93.7,157.3,63.8,50.8,four,68,5500,41,5572
120,plymouth cricket,0,93.7,157.3,63.8,50.8,four,102,5500,30,7957
121,plymouth fury iii,0,93.7,157.3,63.8,50.6,four,68,5500,38,6229
122,plymouth satellite custom (sw),0,93.7,167.3,63.8,50.8,four,68,5500,38,6692
123,plymouth fury gran sedan,0,93.7,167.3,63.8,50.8,four,68,5500,38,7609
124,plymouth valiant,0,103.3,174.6,64.6,59.8,four,88,5000,30,8921
125,plymouth duster,0,95.9,173.2,66.3,50.2,four,145,5000,24,12764
126,porsche macan,0,94.5,168.9,68.3,50.2,four,143,5500,27,22018
127,porcshce panamera,0,89.5,168.9,65,51.6,six,207,5900,25,32528
128,porsche cayenne,0,89.5,168.9,65,51.6,six,207,5900,25,34028
129,porsche boxter,0,89.5,168.9,65,51.6,six,207,5900,25,37028
130,porsche cayenne,0,98.4,175.7,72.3,50.5,eight,288,5750,28,31400.5
131,renault 12tl,0,96.1,181.5,66.5,55.2,four,90,5100,31,9295
132,renault 5 gtl,0,96.1,176.8,66.6,50.5,four,90,5100,31,9895
133,saab 99e,0,99.1,186.6,66.5,56.1,four,110,5250,28,11850
134,saab 99le,0,99.1,186.6,66.5,56.1,four,110,5250,28,12170
135,saab 99le,0,99.1,186.6,66.5,56.1,four,110,5250,28,15040
136,saab 99gle,0,99.1,186.6,66.5,56.1,four,110,5250,28,15510
137,saab 99gle,0,99.1,186.6,66.5,56.1,four,160,5500,26,18150
138,saab 99e,0,99.1,186.6,66.5,56.1,four,160,5500,26,18620
139,subaru,0,93.7,156.9,63.4,53.7,four,69,4900,36,5118
140,subaru dl,0,93.7,157.9,63.6,53.7,four,73,4400,31,7053
141,subaru dl,0,93.3,157.3,63.8,55.7,four,73,4400,31,7603
142,subaru,0,97.2,172,65.4,52.5,four,82,4800,37,7126
143,subaru brz,0,97.2,172,65.4,52.5,four,82,4400,33,7775
144,subaru baja,0,97.2,172,65.4,52.5,four,94,5200,32,9960
145,subaru r1,0,97,172,65.4,54.3,four,82,4800,25,9233
146,subaru r2,0,97,172,65.4,54.3,four,111,4800,29,11259
147,subaru trezia,0,97,173.5,65.4,53,four,82,4800,32,7463
148,subaru tribeca,0,97,173.5,65.4,53,four,94,5200,31,10198
149,subaru dl,0,96.9,173.6,65.4,54.9,four,82,4800,29,8013
150,subaru dl,0,96.9,173.6,65.4,54.9,four,111,4800,23,11694
151,toyota corona mark ii,0,95.7,158.7,63.6,54.5,four,62,4800,39,5348
152,toyota corona,0,95.7,158.7,63.6,54.5,four,62,4800,38,6338
153,toyota corolla 1200,0,95.7,158.7,63.6,54.5,four,62,4800,38,6488
154,toyota corona hardtop,0,95.7,169.7,63.6,59.1,four,62,4800,37,6918
155,toyota corolla 1600 (sw),0,95.7,169.7,63.6,59.1,four,62,4800,32,7898
156,toyota carina,0,95.7,169.7,63.6,59.1,four,62,4800,32,8778
157,toyota mark ii,0,95.7,166.3,64.4,53,four,70,4800,37,6938
158,toyota corolla 1200,0,95.7,166.3,64.4,52.8,four,70,4800,37,7198
159,toyota corona,1,95.7,166.3,64.4,53,four,56,4500,36,7898
160,toyota corolla,1,95.7,166.3,64.4,52.8,four,56,4500,47,7788
161,toyota corona,0,95.7,166.3,64.4,53,four,70,4800,47,7738
162,toyota corolla,0,95.7,166.3,64.4,52.8,four,70,4800,34,8358
163,toyota mark ii,0,95.7,166.3,64.4,52.8,four,70,4800,34,9258
164,toyota corolla liftback,0,94.5,168.7,64,52.6,four,70,4800,34,8058
165,toyota corona,0,94.5,168.7,64,52.6,four,70,4800,34,8238
166,toyota celica gt liftback,0,94.5,168.7,64,52.6,four,112,6600,29,9298
167,toyota corolla tercel,0,94.5,168.7,64,52.6,four,112,6600,29,9538
168,toyota corona liftback,0,98.4,176.2,65.6,52,four,116,4800,30,8449
169,toyota corolla,0,98.4,176.2,65.6,52,four,116,4800,30,9639
170,toyota starlet,0,98.4,176.2,65.6,52,four,116,4800,30,9989
171,toyota tercel,0,98.4,176.2,65.6,52,four,116,4800,30,11199
172,toyota corolla,0,98.4,176.2,65.6,52,four,116,4800,30,11549
173,toyota cressida,0,98.4,176.2,65.6,53,four,116,4800,30,17669
174,toyota corolla,0,102.4,175.6,66.5,54.9,four,92,4200,34,8948
175,toyota celica gt,1,102.4,175.6,66.5,54.9,four,73,4500,33,10698
176,toyota corona,0,102.4,175.6,66.5,53.9,four,92,4200,32,9988
177,toyota corolla,0,102.4,175.6,66.5,54.9,four,92,4200,32,10898
178,toyota mark ii,0,102.4,175.6,66.5,53.9,four,92,4200,32,11248
179,toyota corolla liftback,0,102.9,183.5,67.7,52,six,161,5200,24,16558
180,toyota corona,0,102.9,183.5,67.7,52,six,161,5200,24,15998
181,toyota starlet,0,104.5,187.8,66.5,54.1,six,156,5200,24,15690
182,toyouta tercel,0,104.5,187.8,66.5,54.1,six,156,5200,24,15750
183,vokswagen rabbit,1,97.3,171.7,65.5,55.7,four,52,4800,46,7775
184,volkswagen 1131 deluxe sedan,0,97.3,171.7,65.5,55.7,four,85,5250,34,7975
185,volkswagen model 111,1,97.3,171.7,65.5,55.7,four,52,4800,46,7995
186,volkswagen type 3,0,97.3,171.7,65.5,55.7,four,85,5250,34,8195
187,volkswagen 411 (sw),0,97.3,171.7,65.5,55.7,four,85,5250,34,8495
188,volkswagen super beetle,1,97.3,171.7,65.5,55.7,four,68,4500,42,9495
189,volkswagen dasher,0,97.3,171.7,65.5,55.7,four,100,5500,32,9995
190,vw dasher,0,94.5,159.3,64.2,55.6,four,90,5500,29,11595
191,vw rabbit,0,94.5,165.7,64,51.4,four,90,5500,29,9980
192,volkswagen rabbit,0,100.4,180.2,66.9,55.1,five,110,5500,24,13295
193,volkswagen rabbit custom,1,100.4,180.2,66.9,55.1,four,68,4500,38,13845
194,volkswagen dasher,0,100.4,183.1,66.9,55.1,four,88,5500,31,12290
195,volvo 145e (sw),0,104.3,188.8,67.2,56.2,four,114,5400,28,12940
196,volvo 144ea,0,104.3,188.8,67.2,57.5,four,114,5400,28,13415
197,volvo 244dl,0,104.3,188.8,67.2,56.2,four,114,5400,28,15985
198,volvo 245,0,104.3,188.8,67.2,57.5,four,114,5400,28,16515
199,volvo 264gl,0,104.3,188.8,67.2,56.2,four,162,5100,22,18420
200,volvo 1,0,104.3,188.8,67.2,57.5,four,162,5100,22,18950
201,volvo 145e (sw),0,109.1,188.8,68.9,55.5,four,114,5400,28,16845
202,volvo 144ea,0,109.1,188.8,68.8,55.5,four,160,5300,25,19045
203,volvo 244dl,0,109.1,188.8,68.9,55.5,six,134,5500,23,21485
204,volvo 246,1,109.1,188.8,68.9,55.5,six,106,4800,27,22470
205,volvo 264gl,0,109.1,188.8,68.9,55.5,four,114,5400,25,22625